省份,年份,财政支出效率,数字经济指数,政府透明度指数,协同效应,飞轮效应,财政分权,城镇化率,二产值占比,市场化指数,GDP增速
辽宁省,2005,,,,5.54876756507717,6.02876216413697,0.0354951388553233,0.587064676616915,0.491257893991247,7.657,10.5
辽宁省,2006,,,,5.29375651138562,5.89724125812687,0.0351967816127214,0.589899321002107,0.50830134171349,7.95,11.5
辽宁省,2007,,,,5.19394724446538,5.83365452195797,0.035440581663615,0.592000930665426,0.524269322751986,8.178,12.9
辽宁省,2008,0.490991,,,5.29436495058268,5.63644975689946,0.0344038741922775,0.600463499420626,0.549589642815859,8.26,10.7
辽宁省,2009,0.42357,,,5.63669412456922,4.77771688680617,0.03515586449424,0.603547569684404,0.519726882318411,8.463,10.4
辽宁省,2010,0.368848,,44.0,6.18601680151756,4.34827368249776,0.0355588302577738,0.620603015075377,0.54053605977482,8.539,10.3
辽宁省,2011,0.336354,0.0477890447337949,45.5,6.10966853853494,4.18728317779741,0.0357522106396843,0.640557204841288,0.54673658257861,8.161,10.2
辽宁省,2012,0.320078,0.0577524197642495,48.95,5.95046273936483,3.91537734255548,0.036192794818574,0.656457142857143,0.5324905831542,8.052,8.9
辽宁省,2013,0.223363,0.0662954138072271,37.7,5.89758079157589,3.69583370210604,0.0370682701421632,0.664604810996564,0.52435764676139,8.486,8.7
辽宁省,2014,0.235229,0.0736647027877763,69.87,5.55627371851657,3.94168672706766,0.0334714975522046,0.670491050940799,0.502492438845297,8.625,5.65
辽宁省,2015,0.348951,0.0916885913105328,78.14,5.54256845333795,4.50960703854195,0.0254813897174157,0.680394190871369,0.454915159976192,8.575,2.8
辽宁省,2016,0.351572,0.0909798887732046,75.84,5.54582682126025,4.45497185126282,0.0243799892423757,0.688698867575688,0.386864686765347,8.217,0.5
辽宁省,2017,0.331012,0.100164097619407,51.82,5.70679048443311,4.44581528132442,0.0240264334000425,0.694805194805195,0.392998662066774,8.506,4.17
辽宁省,2018,0.306341,0.120855750030757,70.75,5.52879516075572,4.40459596981483,0.0241630611433114,0.7026334187835,0.396008745681968,8.753,5.6
辽宁省,2019,0.275504,0.139982688132128,59.83,5.4837875244595,4.32635520070182,0.0240522867170198,0.712181435585691,0.382635505802015,9.252,5.4
辽宁省,2020,0.264885,0.15712268058271,65.87,5.59952516177087,4.15874509699593,0.0244797856780858,0.721421034945447,0.374315149217837,9.564,0.6
辽宁省,2021,0.271628,0.127368815426404,73.39,5.69519814784319,4.68932050394526,0.0239310384128496,0.728093819454296,0.394256111310501,9.886,5.8
辽宁省,2022,0.0403,0.135247497608545,,5.9429474463501,4.60375664983877,0.0240313914928038,0.73004527043126,0.40572077404392,10.219,2.0
辽宁省,2023,,0.145013750351697,,6.06495950408649,4.59473929165691,0.0239411172278616,0.7350549976088,0.388438697888737,10.563,5.3
吉林省,2000,,,,6.92350597609562,6.71883991253309,0.011820080124608,0.496625275012119,0.439426968081309,3.981,9.2
吉林省,2001,,,,5.53536696415399,5.82330055448335,0.0148019670659294,0.497993161884941,0.415421982219917,3.698,8.4
吉林省,2002,,,,5.17511060368203,5.63427279245491,0.0164430024735695,0.508816774097948,0.41658647500149,4.344,7.0
吉林省,2003,,,,4.76791331702202,5.23177675146006,0.0166016563928122,0.517697969449273,0.429510007212405,4.46,9.2
吉林省,2004,,,,5.03899970229235,4.83516483516483,0.0178250416244104,0.522983201033782,0.441801916073299,5.304,9.0
吉林省,2005,,,,5.18757192174914,4.39932184053746,0.0186004948971833,0.525220913107511,0.436660801542426,5.865,8.6
吉林省,2006,,,,4.89779777732324,4.4914805946879,0.017771189625243,0.529698861549761,0.448008476955033,6.347,10.8
吉林省,2007,,,,4.86759198061247,4.61697745994388,0.0177528331393182,0.531635785509667,0.468419150413742,6.639,11.6
吉林省,2008,0.682151,,,4.91041484625307,4.09678676744738,0.0188539678614074,0.532098851222108,0.476903565148379,6.715,12.0
吉林省,2009,0.427035,,,4.83386163850855,3.67412334962581,0.0193867805645431,0.533200708145498,0.486611025244719,6.899,10.3
吉林省,2010,0.34933,,39.5,4.66730211788055,3.58679535599385,0.019886138574202,0.533499599504842,0.51990405626484,6.979,10.4
吉林省,2011,0.298618,0.0272411829667368,61.0,4.24489087684121,3.51294884954627,0.0201536342291226,0.53405504587156,0.530946187988642,6.795,10.5
吉林省,2012,0.28222,0.0325323981170998,52.0,4.44852477903188,3.51165425704111,0.0196200216636416,0.545307635285397,0.534101835627728,6.948,8.9
吉林省,2013,0.22037,0.0392923072526594,44.71,4.33639824952209,3.43480969538875,0.0195761278805467,0.557413793103448,0.52567988103998,7.336,8.5
吉林省,2014,0.211526,0.0454707857615134,65.05,4.31056167140151,3.42109328070025,0.0191931959799074,0.568077214231643,0.527893653183261,7.323,6.3
吉林省,2015,0.226293,0.0516376119538425,66.02,4.20140521339393,3.11398464455566,0.0182916806370697,0.576295445847685,0.498161504586817,7.618,6.1
吉林省,2016,0.198995,0.0571240513231749,67.73,4.65381470859234,2.9076236235008,0.0190998161915187,0.587491234904558,0.474050538682259,7.661,6.5
吉林省,2017,0.200938,0.0680024895005121,44.26,4.25441631553104,2.931513908721,0.0183455745656669,0.597121931908155,0.468299103417772,8.358,5.2
吉林省,2018,0.200376,0.0859973116549164,69.07,4.23730348636984,2.96966162566399,0.0171549078779107,0.608586956521739,0.425274401610123,8.262,4.4
吉林省,2019,0.193713,0.104669249615193,62.04,4.38987969018549,2.98132414031555,0.016467582860923,0.616180555555556,0.352595162200835,7.481,3.0
吉林省,2020,0.190327,0.115217383597319,58.52,3.80686073754312,2.9695893311882,0.0167990324611751,0.626455154362024,0.35140179931965,7.756,2.3
吉林省,2021,0.228248,0.0797982451082259,74.33,3.8250162960817,3.56082492074312,0.0150478074513683,0.633648652630959,0.360265951418534,8.04,6.5
吉林省,2022,0.0328,0.0815766560543574,,4.14061044160259,3.16965091579892,0.0155209253334803,0.637298791578104,0.3541108781809,8.335,-2.1
吉林省,2023,,0.0882800904335387,,4.09950975376057,3.07049252867695,0.0160469114488396,0.647201644859174,0.338846517677663,8.641,6.3
黑龙江省,2000,,,,4.92862674238513,7.477675648781,0.0173158936478462,0.519411610191752,0.574408238549032,3.569,7.7
黑龙江省,2001,,,,5.10796499494832,6.36335124511259,0.0216871512686396,0.523799527683023,0.589576210941763,3.421,8.9
黑龙江省,2002,,,,5.02570159690069,6.09679056912403,0.0241176430577945,0.525701547338054,0.596379082810954,3.863,9.9
黑龙江省,2003,,,,4.64717012175058,6.38986741250819,0.0229172878646813,0.525897771952818,0.624155863360773,4.234,9.8
